review,sentiment
not long enough to be feature length and not abrupt enough to a short  this thing exists for one reason  to have a lesbian three way  there are worse reasons to exist  one sad thing is that this could have made a decent feature length movie  misty fits snuggly into her outfit and is a very cocky girl and when people are so infatuated with a game character  like lara croft  that they make nude calenders of her  you know that a soft core flick is set to explode  unfortunately  this is pretty pathetic  especially the painfully fake sex scene between darian and misty  where you can see her hand is fingering air  watch this if you just can t get enough of misty or ruby  who makes a nice blonde and has zee verst jerman akcent ever ,0
yes  i loved this movie when i was a kid  when i was growing up i saw this movie so many times that my dad had to buy another vhs copy because the old copy had worn out my family received a vhs copy of this movie when we purchased a new vhs system  at first  my mom wasn t sure that this was an appropriate movie for a    year old but because we had just bought a new vhs system she let me watch it like i said  this movie is every little boys dream  the movie contains a terrific setting  big muscled barbarians  beautiful topless women  big bad monsters and jokes you ll only get when you get older  so  a couple of days ago i inserted the video and watched the movie again after a long time  at first  i was bored  then started thinking about how much i loved this movie when i was kid  and continued watching  yeah  the experience wasn t as great as i remembered  the acting is pretty bad  the storyline is pretty bad  the jokes weren t funny anymore  but the women were still pretty  yes  i ve grown up  even though the movie experience has changed for me  i still think it s worth   stars  for the good old times you know ,1
for those who never saw a chorus line onstage and their only exposure to the story was this film  this film is ok as movie musicals  nothing special  just ok  i have seen the show on broadway   times and even auditioned for a touring company of the show once and for someone who pretty much memorized the original production  the      film version is so dreadful on so many levels that i don t even know where to begin  first of all  for those who have never auditioned for a theatrical production  let me assure you that irl when you audition for a play  the director  producer  and choreographer never ask personal questions and don t give a crap about why you wanted to become a performer  a real theatrical audition  whether it be for a play or a musical  rarely takes more than five minutes  if you re auditioning as a dancer  you get shown a    bar dance combination once  you do it  and then they decide immediately whether you re in or out  michael bennett s original concept of the show was to flesh out the lives of dancers and introduce to the uninitiated the passion for performing and why so many sacrifice so much for so little  the play is about these dancers  first of all  director richard attenborough took so much focus off the dancers by beefing up the cassie zach relationship and by casting michael douglas as zach  in the play  you never see zach   he is just a voice in the back of the theater and his relationship with cassie is barely touched upon  cassie shown in the cab in traffic trying to get to the audition and upstairs talking to larry  a character who is not even in the play was all added for the movie and took so much focus off what the story is about  major musical numbers were cut or rethought  the opening number in the play  i hope i get it  shows all of the dancers doing a jazz and ballet combination and then people get eliminated  in the movie they jam three hundred dancers onstage together and show them in closeup to disguise the fact that they have cast people in the film who can t dance  can you say  audrey landers     goodbye     goodbye     hello love   a brilliant vocal exploration of these dancers  childhood s jaundiced memories was reworked as  surprise  surprise  mainly a vehicle for the late gregg burge as richie  the show s most famous song   what i did for love  which in the show was a touching allegory sung by the entire cast about what they give up to dance  becomes just another standard love song in the film  performed tiredly by a miscast allyson reed as cassie  jeffrey hornaday s choreography for the film is dull and unimaginative and doesn t hold a candle to michael bennett  original staging and when you re making a movie about dancers  the choreography has to be special  there are a couple of good dancers in the film  the previously mentioned gregg burge as richie  michelle johnston as bebe  and janet jones as judy  but they are hardly given the opportunity to show what they can do  yet audrey landers  who can barely walk and chew gum at the same time  is given one of the show s best numbers   dance     looks     i will admit that the finale   one  is dazzling  but you have to wait almost two hours for that  i would say that if you never saw a chorus line onstage  this film might be worth a look  but if you are a devotee of the original broadway musical   be afraid   be very afraid ,0
i was not really a big fan of star trek until past     years  thanks to the advent of netflix and post      video technology distribution  i am able to embark into the past of all the great star trek episodes  for those that don t really watch every single episode and know them by heart  through tng  ds   voyager  etc   general popular consensus will say     i like the next generation  the best  that s because captain picard and his crew were fresh when they first appeared after decades of star trek starvation  but to be quiet honest  i appreciate the creativity of voyager s episodes more than tng  voyager s episodes also progresses through time unlike tng  granted data from tng is great but it eventually gets old but voyager s doctor    now that s creativity  instead of making artificial intelligence awkward and jerky  give him the freedom to express beyond anything you imagined  not only is picardo such a great actor but the premise setting for his expansive  self growth  as a doctor  self realization now that is science fiction at its best  endgame portray him as a husband married to an  organic   inventing neuro implant transceiver for human machine interface  and even    in the episode before endgame  to disobey captain s order and make  human  mistakes  unlike ds  which are blessed with   beautiful women right from  st episode  voyager has to survive   seasons without jeri ryan and i believe it is picardo that carried them with his personality  of course the rest of the voyager s cast chemistry just flows effortless  harry kim and tom paris    very natural  i love tuvoc occasional humor  despite being a vulcan  finally  i m so glad they got rid of that original female captain    oh  if you get to watch the rare footage    thank god for kate  she has developed through the   years into an extremely confident  believable  and respectable female captain  what a great job  thank you star trek for making voyager  i enjoy every episode  the creative exploration of possibilities  of morals  and of our cosmic expanse ,1
this movie should be number one on the bottom      the acting is so horrible that when my son and i watched it we nearly got physically ill  and the story is worse  i could go on and on about how bad it is but all i really wanted to do was add a warning to frankbob s review as i see no one else has gone to the trouble of doing so yet  don t waste your time  money  energy or anything else on this movie  thank goodness we saw it on tv so we didn t spend anything on it  had we  i would have been forced to write the people responsible for this abomination and be forced to hurl an execration in their general direction  in conclusion  i would like to say that i have always enjoyed watching carrie fisher act  but i am sad to say that she is not worth watching in this particular film  don t spoil your opinion of carrie by viewing it ,0
 apocalypse now redux   francis ford coppola s war opus is probably the most beautiful war film i have ever seen  capt  benjamin willard  martin sheen  is a vietnam soldier who is tapped to head a very dangerous and highly classified mission into cambodia to  terminate the position  of col  kurtz  marlon brando   a highly ranked and highly regarded army man who seemingly has gone completely insane and defected from the army  setting up his own little society and helped by a cultish following of soldiers  escorting him up the river to cambodia is a handful of navy men  and along the way  they encounter several interesting people  most notably is robert duvall s kilgore  a badass lieutenant colonel with a few screws loose  and some horrifying situations   apocalypse  is less historical war film than a philosophical and psychological study  it is more  full metal jacket  than  platoon   the running time of  apocalypse  is over three hours  but the film is so wonderfully paced and compelling that when the end of the film arrived  i was actually surprised at the amount of time that had passed  the beautiful cinematography is surely what stood out the most for me  however  after seeing this film  i am convinced that coppola is one of the masters of light and photography in film history  the  godfather  films were all tinged with an almost sepia tone  and shadows created the feeling of a baroque composition  with  apocalypse   there is an incredible usage of natural light  and the shadows  particularly in the scenes involving brando and sheen  almost become a living character  they are so pervasive and effective  another gorgeous scene was when cpt  willard and jay hicks  frederic forrest  were in the jungle looking for mangoes  and come across a tiger  the sheer enormity of the surrounding foliage  leaves as big as a house  made the characters almost lilliputian  but the colorization of the scene was incredible  while everything else was almost a muted grey  the leaves were an incredibly vibrant green  an effect that was particularly striking  another really minor positive moment in the film was the great scene when the helicopters carrying duvall and company attack the small village while playing wagner  this could have just been an ultra dramatic underlying soundtrack to the scene  but instead coppola turns the song into an actual part of the scene  with duvall mentioning that he likes to play it while they are approaching to  scare the hell out of them   the performances in  apocalypse  are first class  much has been made of the amount of money brando earned for the film  and the amount of trouble he caused  regardless of this  he turned out a powerful performance for a relatively short amount of screen time  sheen is completely outstanding   this is the first time i have seen him really unleash in a film   and duvall is a lot of fun to watch as the loony kilgore   apocalypse now  is a film that is so pervasive in pop culture by now  most know several choice lines from the film   i love the smell of napalm in the morning  et al  but i knew little enough about it that there were plenty of surprises left to experience  i have not seen the original cut of  apocalypse now  so i cannot compare it to this newer cut  but this is a film that should most certainly be experienced        shelly,1
i d really  really wanted to see this movie  and waited for months to get it through our blockbuster total access account  when it showed up in our mailbox  i threw it straight into the dvd player i was very sadly disappointed  which in turn made me mad  i ll give any movie a chance  even if i want to walk out of the theater press  stop   i watched it all the way through  but didn t get anything from it but frustration the acting was very  very good  but that was about it  nothing is explained  while we understand that mathieu becomes depressed and lands in a psych ward of some kind  we re never given insight to his  downfall   while we understand that he and cedric break up  again  we don t see it happen or why it happened  during an interview with mathieu s doctor  cedric reveals that he d cheated on him once  but it was no big deal  i expected to see this in flashbacks  but no  nothing  we also gets the hints that cedric was the one to bring mat to the hospital  but again  we don t see it i know some movies are a  take it as it is  basis  but this movie honestly ticked me off  when pierre  cedric s ex shows up in the club and starts trouble  we don t see hide nor hair of him until near the end  and it took me a good chunk of time to figure out that pierre was the ex  his personality at the club and when mat finds him are entirely different  i might even be wrong saying this  it was that confusing the film expects you to know everything and move along with its disjointed  out of place and confusing pace  i can keep up with films like  pi    citizen kane  and other films that have flashbacks flash forwards left and right  but cu didn t capture and hold onto the style  at the end of  citizen kane   you know what s going on and discover the answer to the main mysteries  cu just leaves you hanging  it has an air of pretension in its  we re not gonna tell you a damned thing  figure it out for yourself  presentation  it s like reading a book with the chapters switched around and pages missing good acting  like i said  i liked the characters  but the whole story was just too disappointing ,0
i ll admit that i ve never seen  waiting for guffman        s critically acclaimed comedy mockumentary about a small town thats that stages a pageant  when the advertising for best in show had the tagline  from the team that brought you waiting for guffman   a fair number of critics out there implied in their reviews that only people that are familiar with the film or its filmmakers and cast would have a good time seeing this film  for shame  critics  for shame times two  any critic that implies something like that with any film probably doesn t want to share the film s wealth with the rest of the world  but this is one film that i hope people will experience  now that its video dvd   best in show  is  without a doubt  the best comedy of      the film begins with a mockumentary style  introducing the main competitors  not to mention screwballs  of the annual mayflower  best in show  competition  where dogs of all breeds come to compete to see who is the top dog  we have the loveable and gullable harry pepper  guest  with his bloodhound  the simple gerry   cookie fleck  levy   o hara  with their terriors  nut case yuppies hamilton   meg swan  hitchcock   posey   the gay dog groomers scott dolan   stefan vanderhoof  higgins   mckean   and the airheaded millionare sheri ann ward cabot  coolidge  along with her trainer christy cummings  lynch   they all have their minds on one simple object  the blue ribbon  which will be awarded to the best dog  and   do i have to tell you the rest director writer star guest s idea of humor is one that assures me that there are comedies out there that are worth laughing at  and that the idiocy of films like  american pie  or other pointless  teenage  flicks won t take over the world after all  his idea is simple  make your comedy not just funny  but smart funny  but instead of following in the brilliant footsteps of films like  zero effect  and  high fidelity   he used a rather unusual approach  and as i understand  he also used this approach for  guffman    whether you notice or not  a very large part of the film is improvisation  in other words  what the actors say and do were probably not written in the script  maybe even not even dreamed of by guest and co writer star levy  but with a gentle hand from guest  he and the actors pulled off a hilarious theatrical feat that probably would have flopped if handled by other  less adept actors  now that s smart the cast is  of course  what makes improv work the most  all of them are a  comedic  marvel to behold  especially guest as pepper  but the real standout has to be fred williard as buck laughlin  the clueless announcer at the competition who can spin out the most outrageously funny stories and comments that no announcer would even dream of   that is  if the announcer was trying to be funny  williard can go from talking about the dog to suddenly going on and on about how much he can bench press  there s even a part were he gives out an idea for a new marketing strategy  have sexy women pose in tight shirts and shorts with the dogs and imply something like  have a doggie style of a time   its priceless  as is his performance i hope that people engage in this    minute  dogumentary   the film deserves so much recognition  it did get nominated for best picture comedy at the golden globes  but didn t win  i can t see why  i mean  in the comedy department  it is best in show grade  a,1
if any style of film could be called my  guilty pleasure   it d be this generic fantasy type  guilty is the wrong word for it  though  as i m pretty pleased to be an escapist from time to time   stardust  is good stock fantasy  the likes of which one should expect from neil gaiman  or gaiman adaptation  as it were   it isn t the visual dream scape of mirrormask  it isn t the adult pretension of pan s labyrinth  and it isn t the fun loving classic the princess bride  but it contains just what the fantasy lover is familiarized enough with to be completely comfortable during the entire viewing  fantasy lovers should rejoice  special effects work has finally become good enough and cheap enough that this stuff is in regular production now the story of stardust involves a young man named tristan who  in order to gain the love and approval of the most beautiful girl in their small town of wall  goes on an adventure to retrieve a fallen star  to make things difficult  however  tristan s fallen star is actually a woman named yvaine  and he s not the only one looking for her    some witches have their greedy eyes on the immortality the star s heart can give  and a brother s feud over the magic kingdom leads murderous princes in her direction from there it s all pretty predictable  but it involves some attractive fantasy elements  some warm hearted commentary on the nature of love  and the best part  robert deniro as a gay pirate  on that note  deniro s performance is spot on    it s not the excessive lisp that most actors use to portray gay people  but a surprisingly effective one from someone used to being seen as a rough and gruff typecast character  thus the ongoing joke surrounding his character matching deniro s own opening up into alternate forms of acting   deniro hasn t been so unique to his own image since brazil  and that s saying something stardust is the type of movie  perhaps  that will subsist on children s and fantasy lover s shelves for a long time  i can t say it offers anything new  but it s not really there to  it s actually those most familiar with it s tropes that will enjoy it the most   polarisdib,1
this movie is not worth the time it takes to put it in the vcr or dvd player  michael dudikoff and lisa howard are two bounty hunters in love  yet they are total opposites  she is ambitious and organized  while he is laid back and totally scatter brained in this movie  bad guys are chasing jersey bellini  dudikoff s character   this opens the door to bad godfather impressions  ludicrous fight scenes  and tony curtis playing the most effeminate looking mob boss i have ever seen  the ending has to be the most   unbelievable scene i have seen in a movie in quite some time  i would believe the terminator  even the matrix  has a better chance of possibly being true than this ending  this movie just reeks of cheapness  the script had to have hit someone as being totally ridiculous  yet  the green light was given for this piece of dung to be made and let loose on on unsuspecting public  i watched this movie with several other people who all agreed that we had been cheated  no one in the group could say anything good about the film except that it was over ,0
